Model Number,Hidden Size,Learning Rate,Test Accuracy
1,64,0.001,88.46153846153847
2,128,0.001,92.3076923076923
3,256,0.001,88.46153846153847
4,64,0.0005,92.3076923076923
5,128,0.0005,88.46153846153847
6,256,0.0005,96.15384615384616
7,64,0.0001,84.61538461538461
8,128,0.0001,84.61538461538461
9,256,0.0001,88.46153846153847
